5684 400 400
98 381 -1 0
97 381 -1 0
101 380 -1 0
100 380 -1 0
99 380 -1 0
98 380 -1 0
97 380 -1 0
96 380 -1 0
95 380 -1 0
94 380 -1 0
102 379 -1 0
101 379 -1 0
100 379 -1 0
99 379 -1 0
98 379 -1 0
97 379 -1 0
96 379 -1 0
95 379 -1 0
94 379 -1 0
93 379 -1 0
102 378 -1 0
101 378 -1 0
100 378 -1 0
99 378 -1 0
98 378 -1 0
97 378 -1 0
96 378 -1 0
95 378 -1 0
94 378 -1 0
93 378 -1 0
102 377 -1 0
101 377 -1 0
100 377 -1 0
99 377 -1 0
98 377 -1 0
97 377 -1 0
96 377 -1 0
95 377 -1 0
94 377 -1 0
93 377 -1 0
103 376 -1 0
102 376 -1 0
101 376 -1 0
100 376 -1 0
99 376 -1 0
98 376 -1 0
97 376 -1 0
96 376 -1 0
95 376 -1 0
94 376 -1 0
93 376 -1 0
92 376 -1 0
103 375 -1 0
102 375 -1 0
101 375 -1 0
100 375 -1 0
99 375 -1 0
98 375 -1 0
97 375 -1 0
96 375 -1 0
95 375 -1 0
94 375 -1 0
93 375 -1 0
103 374 -1 0
102 374 -1 0
101 374 -1 0
100 374 -1 0
99 374 -1 0
98 374 -1 0
97 374 -1 0
96 374 -1 0
95 374 -1 0
94 374 -1 0
93 374 -1 0
103 373 -1 0
102 373 -1 0
101 373 -1 0
100 373 -1 0
99 373 -1 0
98 373 -1 0
97 373 -1 0
96 373 -1 0
95 373 -1 0
94 373 -1 0
93 373 -1 0
103 372 -1 0
102 372 -1 0
101 372 -1 0
100 372 -1 0
99 372 -1 0
98 372 -1 0
97 372 -1 0
96 372 -1 0
95 372 -1 0
94 372 -1 0
93 372 -1 0
103 371 -1 0
102 371 -1 0
101 371 -1 0
100 371 -1 0
99 371 -1 0
98 371 -1 0
97 371 -1 0
96 371 -1 0
95 371 -1 0
94 371 -1 0
93 371 -1 0
102 370 -1 0
101 370 -1 0
100 370 -1 0
99 370 -1 0
98 370 -1 0
97 370 -1 0
96 370 -1 0
95 370 -1 0
94 370 -1 0
103 369 -1 0
102 369 -1 0
101 369 -1 0
100 369 -1 0
99 369 -1 0
98 369 -1 0
97 369 -1 0
96 369 -1 0
95 369 -1 0
94 369 -1 0
93 369 -1 0
103 368 -1 0
102 368 -1 0
